BWV,Date,Title,Instruments,JEG CD,Wikipedia,IMSLP,Bach Digital
18.2,1724-02-13,Cantata Gleichwie der Regen und Schnee vom Himmel fällt (Sexagesima; chamber pitch [de] version),stbSATB 2Fl Bas 4Va Vc Bc,10.0,https://en.wikipedia.org/wiki/BWV_18,"https://imslp.org/wiki/Gleichwie_der_Regen_und_Schnee_vom_Himmel_f%C3%A4llt,_BWV_18_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000020?lang=en
18.1,1715-02-24,Cantata Gleichwie der Regen und Schnee vom Himmel fällt (Sexagesima; choir pitch [de] version),stbSATB Bas 4Va Vc Bc,10.0,https://en.wikipedia.org/wiki/BWV_18,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000021?lang=en
19,1726-09-29,Cantata Es erhub sich ein Streit (Michaelmas),stbSATB 3Tr Tmp 2Ob 2Oba Tai Str Bc,42.0,https://en.wikipedia.org/wiki/BWV_19,"https://imslp.org/wiki/Es_erhub_sich_ein_Streit,_BWV_19_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000022?lang=en
20,1724-06-11,"Cantata O Ewigkeit, du Donnerwort (Trinity I)",atbSATB Tdt Tmp 3Ob Str Bc,27.0,https://en.wikipedia.org/wiki/BWV_20,"https://imslp.org/wiki/O_Ewigkeit,_du_Donnerwort,_BWV_20_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000023?lang=en
21.3,1723-06-13,Cantata Ich hatte viel Bekümmernis (3rd version: Trinity III),satbSATB 3Tr Tmp 4Tne Ob Str Bc,29.0,https://en.wikipedia.org/wiki/BWV_21,"https://imslp.org/wiki/Ich_hatte_viel_Bek%C3%BCmmernis,_BWV_21_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000026?lang=en
22,1723-02-07,Cantata Jesus nahm zu sich die Zwölfe (Estomihi),satbSATB Ob Str Bc,11.0,https://en.wikipedia.org/wiki/BWV_22,"https://imslp.org/wiki/Jesus_nahm_zu_sich_die_Zw%C3%B6lfe,_BWV_22_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000027?lang=en
23.2,1723-02-07,"Cantata Du wahrer Gott und Davids Sohn (2nd version, 4 movements: Estomihi)",satbSATB Crn 3Tbn 2Oba Str Bc,11.0,https://en.wikipedia.org/wiki/BWV_23,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000029?lang=en
24,1723-06-20,Cantata Ein ungefärbt Gemüte (Trinity IV),satbSATB Cl 2Ob 2Oba Str Bc,30.0,https://en.wikipedia.org/wiki/BWV_24,"https://imslp.org/wiki/Ein_ungef%C3%A4rbt_Gem%C3%BCte,_BWV_24_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000031?lang=en
25,1723-08-29,Cantata Es ist nichts Gesundes an meinem Leibe (Trinity XIV),stbSATB Crn 3Tbn 3Fl 2Ob Str Bc,40.0,https://en.wikipedia.org/wiki/BWV_25,"https://imslp.org/wiki/Es_ist_nichts_Gesundes_an_meinem_Leibe,_BWV_25_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000032?lang=en
26,1724-11-19,"Cantata Ach wie flüchtig, ach wie nichtig (Trinity XXIV)",satbSATB Hn Fl 3Ob Str Bc,7.0,https://en.wikipedia.org/wiki/BWV_26,"https://imslp.org/wiki/Ach_wie_fl%C3%BCchtig,_ach_wie_nichtig,_BWV_26_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000033?lang=en
27,1726-10-06,"Cantata Wer weiß, wie nahe mir mein Ende? (Trinity XVI)",satbSSATB Hn 2Ob Odc Str Org Bc,43.0,https://en.wikipedia.org/wiki/BWV_27,"https://imslp.org/wiki/Wer_wei%C3%9F,_wie_nahe_mir_mein_Ende,_BWV_27_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000034?lang=en
28,1725-12-30,Cantata Gottlob! nun geht das Jahr zu Ende (Christmas I),satbSATB Cnt 3Tbn 2Ob Tai Str Bc,56.0,https://en.wikipedia.org/wiki/BWV_28,"https://imslp.org/wiki/Gottlob!_nun_geht_das_Jahr_zu_Ende,_BWV_28_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000035?lang=en
29,1731-08-27,"Cantata Wir danken dir, Gott, wir danken dir (council election)",satbSATB 3Tr Tmp 2Ob Str Org Bc,,https://en.wikipedia.org/wiki/BWV_29,"https://imslp.org/wiki/Wir_danken_dir,_Gott,_wir_danken_dir,_BWV_29_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000037?lang=en
30.2,1738-06-24,"Cantata Freue dich, erlöste Schar (24 June: feast of John the Baptist)",satbSATB 2Fl 2Ob Oba Vl Str Bc,26.0,https://en.wikipedia.org/wiki/BWV_30.2,"https://imslp.org/wiki/Freue_dich,_erl%C3%B6ste_Schar,_BWV_30_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000038?lang=en
30.1,1737-09-28,Secular cantata Angenehmes Wiederau (for Hennicke [de] at Wiederau [de] manor),satbSATB 3Tr Tmp 2Fl 2Ob Oba Str Bc,26.0,https://en.wikipedia.org/wiki/BWV_30.1,"https://imslp.org/wiki/Angenehmes_Wiederau,_BWV_30a_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000039?lang=en
31.2,1724-04-09,Cantata Der Himmel lacht! Die Erde jubilieret (Leipzig version: Easter),stbSSATB 3Tr Tmp Ob 2Oba Bas 2Vl 2Va Bc,13.0,https://en.wikipedia.org/wiki/BWV_31,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000040?lang=en
31.1,1715-04-21,Cantata Der Himmel lacht! Die Erde jubilieret (Weimar version: Easter),stbSSATB 3Tr Tmp 3Ob Tai Bas 2Vl 2Va Bc,13.0,https://en.wikipedia.org/wiki/BWV_31,"https://imslp.org/wiki/Der_Himmel_lacht!_die_Erde_jubiliert,_BWV_31_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000041?lang=en
32,1726-01-13,"Cantata Liebster Jesu, mein Verlangen (Epiphany I)",sbSATB Ob Str Bc,4.0,https://en.wikipedia.org/wiki/BWV_32,"https://imslp.org/wiki/Liebster_Jesu,_mein_Verlangen,_BWV_32_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000042?lang=en
33,1724-09-03,"Cantata Allein zu dir, Herr Jesu Christ (Trinity XIII)",atbSATB 2Ob Str Bc,39.0,https://en.wikipedia.org/wiki/BWV_33,"https://imslp.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ,_BWV_33_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000043?lang=en
34.1,1727-06-01,"Cantata O ewiges Feuer, o Ursprung der Liebe (Pentecost)",atbSATB 3Tr Tmp 2Fl 2Ob Str Bc,22.0,https://en.wikipedia.org/wiki/BWV_34.1,"https://imslp.org/wiki/O_ewiges_Feuer,_o_Ursprung_der_Liebe,_BWV_34_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000044?lang=en
35,1726-09-08,Cantata Geist und Seele wird verwirret (Trinity XII),a 2Ob Tai Str Org Bc,38.0,https://en.wikipedia.org/wiki/BWV_35,"https://imslp.org/wiki/Geist_und_Seele_wird_verwirret,_BWV_35_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000046?lang=en
36.5,1731-12-02,Cantata Schwingt freudig euch empor (Advent I),satbSATB 2Oba Str Bc,52.0,https://en.wikipedia.org/wiki/BWV_36,"https://imslp.org/wiki/Schwingt_freudig_euch_empor,_BWV_36_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000047?lang=en
36.3,1735-07-27,"Secular cantata Die Freude reget sich (birthday of Rivinus, J. F. [de]?)",satSATB Fl Oba Str Bc,52.0,https://en.wikipedia.org/wiki/BWV_36.3,"https://imslp.org/wiki/Die_Freude_reget_sich,_BWV_36b_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000050?lang=en
37,1724-05-18,Cantata Wer da gläubet und getauft wird (Ascension),satbSATB 2Oba Str Bc,20.0,https://en.wikipedia.org/wiki/BWV_37,"https://imslp.org/wiki/Wer_da_gl%C3%A4ubet_und_getauft_wird,_BWV_37_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000052?lang=en
38,1724-10-29,Cantata Aus tiefer Not schrei ich zu dir (Trinity XXI),satbSATB 2Ob 4Tbn Str Bc,49.0,https://en.wikipedia.org/wiki/BWV_38,"https://imslp.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir,_BWV_38_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000053?lang=en
39,1726-06-23,Cantata Brich dem Hungrigen dein Brot (Trinity I),sabSATB 2Fl 2Ob Str Bc,27.0,https://en.wikipedia.org/wiki/BWV_39,"https://imslp.org/wiki/Brich_dem_Hungrigen_dein_Brot,_BWV_39_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000054?lang=en
40,1723-12-26,Cantata Darzu ist erschienen der Sohn Gottes (Christmas 2),atbSATB 2Hn 2Ob Str Bc,54.0,https://en.wikipedia.org/wiki/BWV_40,"https://imslp.org/wiki/Dazu_ist_erschienen_der_Sohn_Gottes,_BWV_40_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000055?lang=en
41,1725-01-01,"Cantata Jesu, nun sei gepreiset (New Year)",satbSATB 3Tr Tmp 3Ob Str Vc Bc,2.0,https://en.wikipedia.org/wiki/BWV_41,"https://imslp.org/wiki/Jesu,_nun_sei_gepreiset,_BWV_41_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000056?lang=en
42,1725-04-08,Cantata Am Abend aber desselbigen Sabbats (Quasimodogeniti),satbSATB 2Ob Bas Str Bc,15.0,https://en.wikipedia.org/wiki/BWV_42,"https://imslp.org/wiki/Am_Abend_aber_desselbigen_Sabbats,_BWV_42_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000057?lang=en
43,1726-05-30,Cantata Gott fähret auf mit Jauchzen (Ascension),satbSATB 3Tr Tmp 2Ob Str Bc,20.0,https://en.wikipedia.org/wiki/BWV_43,"https://imslp.org/wiki/Gott_f%C3%A4hret_auf_mit_Jauchzen,_BWV_43_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000058?lang=en
44,1724-05-21,Cantata Sie werden euch in den Bann tun (Exaudi),satbSATB 2Ob Str Bc,21.0,https://en.wikipedia.org/wiki/BWV_44,"https://imslp.org/wiki/Sie_werden_euch_in_den_Bann_thun,_BWV_44_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000059?lang=en
45,1726-08-11,"Cantata Es ist dir gesagt, Mensch, was gut ist (Trinity VIII)",atbSATB 2Fl Ob Oba Str Bc,34.0,https://en.wikipedia.org/wiki/BWV_45,"https://imslp.org/wiki/Es_ist_dir_gesagt,_Mensch,_was_gut_ist,_BWV_45_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000060?lang=en
46,1723-08-01,"Cantata Schauet doch und sehet, ob irgend ein Schmerz sei (Trinity X)",atbSATB Tdt Hn 2Fl 2Odc Str Bc,36.0,https://en.wikipedia.org/wiki/BWV_46,"https://imslp.org/wiki/Schauet_doch_und_sehet,_BWV_46_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000061?lang=en
47,1726-10-13,"Cantata Wer sich selbst erhöhet, der soll erniedriget werden (Trinity XVII)",sbSATB 2Ob Str Org Bc,44.0,https://en.wikipedia.org/wiki/BWV_47,"https://imslp.org/wiki/Wer_sich_selbst_erh%C3%B6het,_der_soll_erniedriget_werden,_BWV_47_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000062?lang=en
48,1723-10-03,"Cantata Ich elender Mensch, wer wird mich erlösen (Trinity XIX)",atSATB Tr 2Ob Str Bc,46.0,https://en.wikipedia.org/wiki/BWV_48,"https://imslp.org/wiki/Ich_elender_Mensch,_wer_wird_mich_erl%C3%B6sen,_BWV_48_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000063?lang=en
49,1726-11-03,Cantata Ich geh und suche mit Verlangen (Trinity XX),sb Oba Str Vl Org Bc,48.0,https://en.wikipedia.org/wiki/BWV_49,"https://imslp.org/wiki/Ich_geh%27_und_suche_mit_Verlangen,_BWV_49_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000064?lang=en
51,1730-09-17,Cantata Jauchzet Gott in allen Landen (Trinity XV),s (2)Tr (Tmp) Str Bc,41.0,https://en.wikipedia.org/wiki/BWV_51,"https://imslp.org/wiki/Jauchzet_Gott_in_allen_Landen,_BWV_51_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000066?lang=en
52,1726-11-24,"Cantata Falsche Welt, dir trau ich nicht (Trinity XXIII)",sSATB 2Hn 3Ob Bas Str Bc,51.0,https://en.wikipedia.org/wiki/BWV_52,"https://imslp.org/wiki/Falsche_Welt,_dir_trau_ich_nicht,_BWV_52_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000067?lang=en
55,1726-11-17,"Cantata Ich armer Mensch, ich Sündenknecht (Trinity XXII)",tSATB Fl Oba Str Bc,50.0,https://en.wikipedia.org/wiki/BWV_55,"https://imslp.org/wiki/Ich_armer_Mensch,_ich_S%C3%BCndenknecht,_BWV_55_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000070?lang=en
56,1726-10-27,Cantata Ich will den Kreuzstab gerne tragen (Trinity XIX),bSATB 2Ob Tai Str Vc Bc,46.0,https://en.wikipedia.org/wiki/BWV_56,"https://imslp.org/wiki/Ich_will_den_Kreuzstab_gerne_tragen,_BWV_56_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000071?lang=en
57,1725-12-26,Cantata Selig ist der Mann (Christmas 2),sbSATB 2Ob Tai Str Bc,55.0,https://en.wikipedia.org/wiki/BWV_57,"https://imslp.org/wiki/Selig_ist_der_Mann,_BWV_57_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000072?lang=en
58.1,1727-01-05,"Cantata Ach Gott, wie manches Herzeleid (New Year I; early version)",sb Vl Str Bc,3.0,https://en.wikipedia.org/wiki/BWV_58,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000074?lang=en
59,1724-05-28,"Cantata Wer mich liebet, der wird mein Wort halten (Pentecost)",sbSATB 2Tr Tmp Str Bc,22.0,https://en.wikipedia.org/wiki/BWV_59,"https://imslp.org/wiki/Wer_mich_liebet,_der_wird_mein_Wort_halten,_BWV_59_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000075?lang=en
60,1723-11-07,"Cantata O Ewigkeit, du Donnerwort (Trinity XXIV)",atbSATB Hn 2Oba Str Bc,50.0,https://en.wikipedia.org/wiki/BWV_60,"https://imslp.org/wiki/O_Ewigkeit,_du_Donnerwort,_BWV_60_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000076?lang=en
61,1714-12-02,"Cantata Nun komm, der Heiden Heiland (Advent I – first setting)",stbSATB Fag 2Vl 2Va Bc,52.0,https://en.wikipedia.org/wiki/BWV_61,"https://imslp.org/wiki/Nun_komm,_der_Heiden_Heiland,_BWV_61_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000077?lang=en
62,1724-12-03,"Cantata Nun komm, der Heiden Heiland (Advent I – second setting)",satbSATB Hn 2Ob Str Bc,52.0,https://en.wikipedia.org/wiki/BWV_62,"https://imslp.org/wiki/Nun_komm,_der_Heiden_Heiland,_BWV_62_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000078?lang=en
63,1714-12-25,"Cantata Christen, ätzet diesen Tag (Christmas; two versions)",satbSATB 4Tr Tmp 3Ob Bas Str Bc,1.0,https://en.wikipedia.org/wiki/BWV_63,"https://imslp.org/wiki/Christen,_%C3%A4tzet_diesen_Tag,_BWV_63_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000079?lang=en
63,1723-12-25,"Cantata Christen, ätzet diesen Tag (Christmas; two versions)",satbSATB 4Tr Tmp 3Ob Bas Str Bc,1.0,https://en.wikipedia.org/wiki/BWV_63,"https://imslp.org/wiki/Christen,_%C3%A4tzet_diesen_Tag,_BWV_63_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000079?lang=en
64,1723-12-27,"Cantata Sehet, welch eine Liebe hat uns der Vater erzeiget (Christmas 3)",sabSATB Cnt 3Tbn Oba Str Bc,55.0,https://en.wikipedia.org/wiki/BWV_64,"https://imslp.org/wiki/Sehet,_welch_eine_Liebe,_BWV_64_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000080?lang=en
65,1724-01-06,Cantata Sie werden aus Saba alle kommen (Epiphany),tbSATB 2Hn 2Fl 2Odc Str Bc,3.0,https://en.wikipedia.org/wiki/BWV_65,"https://imslp.org/wiki/Sie_werden_aus_Saba_alle_kommen,_BWV_65_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000081?lang=en
66.2,1724-04-10,"Cantata Erfreut euch, ihr Herzen (Easter 2)",atbSATB Tr 2Ob Str Bc,13.0,https://en.wikipedia.org/wiki/BWV_66.2,"https://imslp.org/wiki/Erfreut_euch,_ihr_Herzen,_BWV_66_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000082?lang=en
66.1,1718-12-10,Secular cantata Der Himmel dacht auf Anhalts Ruhm und Glück (birthday of Leopold of Anhalt-Köthen),atbSATB 2Ob Bas Str Bc (?),13.0,https://en.wikipedia.org/wiki/BWV_66.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000083?lang=en
67,1724-04-16,Cantata Halt im Gedächtnis Jesum Christ (Quasimodogeniti),atbSATB Hn Fl 2Oba Str Bc,15.0,https://en.wikipedia.org/wiki/BWV_67,"https://imslp.org/wiki/Halt_im_Ged%C3%A4chtnis_Jesum_Christ,_BWV_67_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000084?lang=en
68,1725-05-21,Cantata Also hat Gott die Welt geliebt (Pentecost 2),sbSATB Hn Cnt 3Tbn 2Ob Tai Str Vc Bc,23.0,https://en.wikipedia.org/wiki/BWV_68,"https://imslp.org/wiki/Also_hat_Gott_die_Welt_geliebt,_BWV_68_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000085?lang=en
69.2,1748-08-26,"Cantata Lobe den Herrn, meine Seele (council election)",satbSATB 3Tr Tmp 3Ob Oba Bas Str Bc,38.0,https://en.wikipedia.org/wiki/BWV_69.2,"https://imslp.org/wiki/Lobe_den_Herrn,_meine_Seele,_BWV_69_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000086?lang=en
69.1,1723-08-15,"Cantata Lobe den Herrn, meine Seele (Trinity XII)",satbSATB 3Tr Tmp Fl 3Ob Oba Odc Bas Str Bc,38.0,https://en.wikipedia.org/wiki/BWV_69.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000087?lang=en
70.2,1723-11-21,Cantata Wachet! Betet! Betet! Wachet! (Trinity XXVI),satbSATB Tr Ob Str Vc Bc,53.0,https://en.wikipedia.org/wiki/BWV_70,"https://imslp.org/wiki/Wachet!_betet!_betet!_wachet!,_BWV_70_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000088?lang=en
70.1,1716-12-06,Cantata Wachet! Betet! Betet! Wachet! (Advent II),satbSATB Tr Ob Str Vc Bc,53.0,https://en.wikipedia.org/wiki/BWV_70a,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000089?lang=en
71,1708-02-04,Cantata Gott ist mein König (council election),satbSATB 3Tr Tmp 2Fl Vc 2Ob Bas Str Vne Org,30.0,https://en.wikipedia.org/wiki/BWV_71,"https://imslp.org/wiki/Gott_ist_mein_K%C3%B6nig,_BWV_71_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000090?lang=en
72,1726-01-27,Cantata Alles nur nach Gottes Willen (Epiphany III),sabSATB 2Ob Str Bc,6.0,https://en.wikipedia.org/wiki/BWV_72,"https://imslp.org/wiki/Alles_nur_nach_Gottes_Willen,_BWV_72_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000091?lang=en
73,1724-01-23,"Cantata Herr, wie du willt, so schicks mit mir (Epiphany III)",stbSATB Hn 2Ob Str Bc,6.0,https://en.wikipedia.org/wiki/BWV_73,"https://imslp.org/wiki/Herr,_wie_du_willt,_so_schick%27s_mit_mir,_BWV_73_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000092?lang=en
