BWV,Date,Title,Instruments,JEG CD,Wikipedia,IMSLP,Bach Digital
74,1725-05-20,"Cantata Wer mich liebet, der wird mein Wort halten (Pentecost)",satbSATB 3Tr Tmp 2Ob Odc Str Bc,22.0,https://en.wikipedia.org/wiki/BWV_74,"https://imslp.org/wiki/Wer_mich_liebet,_der_wird_mein_Wort_halten,_BWV_74_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000093?lang=en
75,1723-05-30,Cantata Die Elenden sollen essen (Trinity I),satbSATB Tr 2Ob Oba Bas Str Bc,27.0,https://en.wikipedia.org/wiki/BWV_75,"https://imslp.org/wiki/Die_Elenden_sollen_essen,_BWV_75_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000094?lang=en
76,1723-06-06,Cantata Die Himmel erzählen die Ehre Gottes (Trinity II),satbSATB Tr 2Ob Oba Str Vdg Bc,28.0,https://en.wikipedia.org/wiki/BWV_76,"https://imslp.org/wiki/Die_Himmel_erz%C3%A4hlen_die_Ehre_Gottes,_BWV_76_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000095?lang=en
77,1723-08-22,"Cantata Du sollt Gott, deinen Herren, lieben (Trinity XIII)",satbSATB Tdt 2Ob Str Bc,39.0,https://en.wikipedia.org/wiki/BWV_77,"https://imslp.org/wiki/Du_sollt_Gott,_deinen_Herren,_lieben,_BWV_77_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000096?lang=en
78,1724-09-10,"Cantata Jesu, der du meine Seele (Trinity XIV)",satbSATB Hn Fl 2Ob Str Vne Bc,40.0,https://en.wikipedia.org/wiki/BWV_78,"https://imslp.org/wiki/Jesu,_der_du_meine_Seele,_BWV_78_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000097?lang=en
79,1725-10-31,Cantata Gott der Herr ist Sonn und Schild (Reformation Day; two versions: Fl associated with 2nd c.1730),sabSATB 2Hn Tmp (2Fl) 2Ob Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_79,"https://imslp.org/wiki/Gott_der_Herr_ist_Sonn_und_Schild,_BWV_79_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000098?lang=en
80.3,1727-10-31,Cantata Ein feste Burg ist unser Gott (Reformation Day; 2nd Leipzig v.; Tr & Tmp in BGA likely W. F. Bach's addition),satbSATB 3Ob 2Oba Odc Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.3,"https://imslp.org/wiki/Ein_feste_Burg_ist_unser_Gott,_BWV_80_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000099?lang=en
80.3,1731-10-31,Cantata Ein feste Burg ist unser Gott (Reformation Day; 2nd Leipzig v.; Tr & Tmp in BGA likely W. F. Bach's addition),satbSATB 3Ob 2Oba Odc Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.3,"https://imslp.org/wiki/Ein_feste_Burg_ist_unser_Gott,_BWV_80_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000099?lang=en
80.1,1715-03-24,"Cantata Alles, was von Gott geboren (Oculi; music lost)",satb(?)SATB Ob Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000100?lang=en
80.1,1716-03-16,"Cantata Alles, was von Gott geboren (Oculi; music lost)",satb(?)SATB Ob Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000100?lang=en
80.2,1723-10-31,Cantata Ein feste Burg ist unser Gott (Reformation Day; 1st Leipzig version),sbSATB Ob Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.2,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000101?lang=en
80.2,1731-10-31,Cantata Ein feste Burg ist unser Gott (Reformation Day; 1st Leipzig version),sbSATB Ob Str Bc,47.0,https://en.wikipedia.org/wiki/BWV_80.2,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000101?lang=en
81,1724-01-30,"Cantata Jesus schläft, was soll ich hoffen? (Epiphany IV)",atbSATB 2Fl 2Oba Str Bc,7.0,https://en.wikipedia.org/wiki/BWV_81,"https://imslp.org/wiki/Jesus_schl%C3%A4ft,_was_soll_ich_hoffen%3F,_BWV_81_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000102?lang=en
82.1,1727-02-02,Cantata Ich habe genug (Purification; 1st version),b Ob Str Bc,8.0,https://en.wikipedia.org/wiki/BWV_82,"https://imslp.org/wiki/Ich_habe_genug,_BWV_82_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000103?lang=en
82.2,1731-02-02,Cantata Ich habe genug (Purification; 2nd version),s Fl Str Bc,8.0,https://en.wikipedia.org/wiki/BWV_82,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000104?lang=en
83,1724-02-02,Cantata Erfreute Zeit im neuen Bunde (Purification),atbSATB 2Hn 2Ob Vl Str Bc,8.0,https://en.wikipedia.org/wiki/BWV_83,"https://imslp.org/wiki/Erfreute_Zeit_im_neuen_Bunde,_BWV_83_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000107?lang=en
84,1727-02-09,Cantata Ich bin vergnügt mit meinem Glücke (Septuagesimae),sSATB Ob Str Bc,9.0,https://en.wikipedia.org/wiki/BWV_84,"https://imslp.org/wiki/Ich_bin_vergn%C3%BCgt_mit_meinem_Gl%C3%BCcke,_BWV_84_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000108?lang=en
85,1725-04-15,Cantata Ich bin ein guter Hirt (Misericordias Domini),satbSATB 2Ob Str Vc Bc,16.0,https://en.wikipedia.org/wiki/BWV_85,"https://imslp.org/wiki/Ich_bin_ein_guter_Hirt,_BWV_85_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000109?lang=en
86,1724-05-14,"Cantata Wahrlich, wahrlich, ich sage euch (Rogate)",satbSATB 2Oba Str Bc,19.0,https://en.wikipedia.org/wiki/BWV_86,"https://imslp.org/wiki/Wahrlich,_wahrlich,_ich_sage_euch,_BWV_86_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000110?lang=en
87,1725-05-06,Cantata Bisher habt ihr nichts gebeten in meinem Namen (Rogate),atbSATB 2Ob 2Odc Str Bc,19.0,https://en.wikipedia.org/wiki/BWV_87,"https://imslp.org/wiki/Bisher_habt_ihr_nichts_gebeten,_BWV_87_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000111?lang=en
88,1726-07-21,"Cantata Siehe, ich will viel Fischer aussenden (Trinity V)",satbSATB 2Hn 2Oba Tai Str Bc,31.0,https://en.wikipedia.org/wiki/BWV_88,"https://imslp.org/wiki/Siehe,_ich_will_viel_Fischer_aussenden,_BWV_88_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000112?lang=en
89,1723-10-24,"Cantata Was soll ich aus dir machen, Ephraim? (Trinity XXII)",sabSATB Hn 2Ob Str Bc,50.0,https://en.wikipedia.org/wiki/BWV_89,"https://imslp.org/wiki/Was_soll_ich_aus_dir_machen,_Ephraim,_BWV_89_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000113?lang=en
90,1723-11-14,Cantata Es reißet euch ein schrecklich Ende (Trinity XXV),atbSATB (Tr) Str Bc,46.0,https://en.wikipedia.org/wiki/BWV_90,"https://imslp.org/wiki/Es_rei%C3%9Fet_euch_ein_schrecklich_Ende,_BWV_90_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000114?lang=en
91.1,1724-12-25,"Cantata Gelobet seist du, Jesu Christ (Christmas; early version)",satbSATB 2Hn Tmp 3Ob Str Bc,54.0,https://en.wikipedia.org/wiki/BWV_91,"https://imslp.org/wiki/Gelobet_seist_du,_Jesu_Christ,_BWV_91_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000116?lang=en
92,1725-01-28,Cantata Ich hab in Gottes Herz und Sinn (Septuagesimae),satbSATB 2Oba Str Bc,9.0,https://en.wikipedia.org/wiki/BWV_92,"https://imslp.org/wiki/Ich_hab_in_Gottes_Herz_und_Sinn,_BWV_92_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000117?lang=en
93,1724-07-09,Cantata Wer nur den lieben Gott läßt walten (Trinity V),satbSATB 2Ob Str Bc,31.0,https://en.wikipedia.org/wiki/BWV_93,"https://imslp.org/wiki/Wer_nur_den_lieben_Gott_l%C3%A4sst_walten,_BWV_93_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000118?lang=en
94,1724-08-06,Cantata Was frag ich nach der Welt (Trinity IX),satbSATB Fl 2Ob 2Oba Str Bc,35.0,https://en.wikipedia.org/wiki/BWV_94,"https://imslp.org/wiki/Was_frag_ich_nach_der_Welt,_BWV_94_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000119?lang=en
95,1723-09-12,"Cantata Christus, der ist mein Leben (Trinity XVI)",stbSATB Hn or Cnt 2Ob 2Oba Str Bc,43.0,https://en.wikipedia.org/wiki/BWV_95,"https://imslp.org/wiki/Christus,_der_ist_mein_Leben,_BWV_95_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000120?lang=en
96,1724-10-08,"Cantata Herr Christ, der einge Gottessohn (Trinity XVIII)",satbSATB Hn or Tbn Fl/Fl or Vl 2Ob Str Bc,45.0,https://en.wikipedia.org/wiki/BWV_96,"https://imslp.org/wiki/Herr_Christ,_der_einge_Gottessohn,_BWV_96_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000121?lang=en
97,1734-07-25,Cantata In allen meinen Taten (two versions; Trinity V?),satbSATB 2Ob Str Bc,19.0,https://en.wikipedia.org/wiki/BWV_97,"https://imslp.org/wiki/Herr_Christ,_der_einge_Gottessohn,_BWV_96_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000122?lang=en
98,1726-11-10,"Cantata Was Gott tut, das ist wohlgetan (Trinity XXI)",satbSATB 2Ob Str Bc,49.0,https://en.wikipedia.org/wiki/BWV_98,"https://imslp.org/wiki/Was_Gott_tut,_das_ist_wohlgetan,_BWV_98_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000123?lang=en
99,1724-09-17,"Cantata Was Gott tut, das ist wohlgetan (Trinity XV)",satbSATB Hn Fl Oba Str Bc,41.0,https://en.wikipedia.org/wiki/BWV_99,"https://imslp.org/wiki/Was_Gott_tut,_das_ist_wohlgetan,_BWV_99_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000124?lang=en
101,1724-08-13,"Cantata Nimm von uns, Herr, du treuer Gott (Trinity X)",satbSATB 2Hn Tmp Fl Oba Str Bc,36.0,https://en.wikipedia.org/wiki/BWV_101,"https://imslp.org/wiki/Nimm_von_uns,_Herr,_du_treuer_Gott,_BWV_101_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000126?lang=en
102,1726-08-25,"Cantata Herr, deine Augen sehen nach dem Glauben (Trinity X)",atbSATB Fl Vl 2Ob Str Bc,36.0,https://en.wikipedia.org/wiki/BWV_102,"https://imslp.org/wiki/Herr,_deine_Augen_sehen_nach_dem_Glauben,_BWV_102_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000127?lang=en
103,1725-04-22,"Cantata Ihr werdet weinen und heulen (Jubilate, 2 versions)",atSATB Tr Fl Fl (or) Vl 2Oba Str Bc,17.0,https://en.wikipedia.org/wiki/BWV_103,"https://imslp.org/wiki/Ihr_werdet_weinen_und_heulen,_BWV_103_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000128?lang=en
103,1731-04-15,"Cantata Ihr werdet weinen und heulen (Jubilate, 2 versions)",atSATB Tr Fl Fl (or) Vl 2Oba Str Bc,17.0,https://en.wikipedia.org/wiki/BWV_103,"https://imslp.org/wiki/Ihr_werdet_weinen_und_heulen,_BWV_103_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000128?lang=en
104,1724-04-23,"Cantata Du Hirte Israel, höre (Misericordias)",tbSATB 2Ob 2Oba Tai Str Bc,16.0,https://en.wikipedia.org/wiki/BWV_104,"https://imslp.org/wiki/Du_Hirte_Israel,_h%C3%B6re,_BWV_104_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000129?lang=en
105,1723-07-25,"Cantata Herr, gehe nicht ins Gericht mit deinem Knecht (Trinity IX)",satbSATB Hn 2Ob Str Bc,35.0,https://en.wikipedia.org/wiki/BWV_105,"https://imslp.org/wiki/Herr,_gehe_nicht_ins_Gericht,_BWV_105_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000130?lang=en
106,1708-09-16,"Cantata Gottes Zeit ist die allerbeste Zeit (funeral; ""Actus tragicus"")",satbSATB 2Fl 2Vdg Bc,,https://en.wikipedia.org/wiki/BWV_106,"https://imslp.org/wiki/Gottes_Zeit_ist_die_allerbeste_Zeit,_BWV_106_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000131?lang=en
107,1724-07-23,Cantata Was willst du dich betrüben (Trinity VII),stbSATB Hn 2Fl 2Oba Str Bc,33.0,https://en.wikipedia.org/wiki/BWV_107,"https://imslp.org/wiki/Was_willst_du_dich_betr%C3%BCben,_BWV_107_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000132?lang=en
108,1725-04-29,"Cantata Es ist euch gut, daß ich hingehe (Cantate)",atbSATB 2Oba Str Bc,18.0,https://en.wikipedia.org/wiki/BWV_108,"https://imslp.org/wiki/Es_ist_euch_gut,_dass_ich_hingehe,_BWV_108_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000133?lang=en
109,1723-10-17,"Cantata Ich glaube, lieber Herr, hilf meinem Unglauben (Trinity XXI; 2 versions)",atSATB (Hn) 2Ob Str Bc,49.0,https://en.wikipedia.org/wiki/BWV_109,"https://imslp.org/wiki/Ich_glaube,_lieber_Herr,_BWV_109_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000134?lang=en
110,1725-12-25,Cantata Unser Mund sei voll Lachens (Christmas),satbSATB 3Tr Tmp 2Fl 3Ob Oba Odc Bas Str Bc,54.0,https://en.wikipedia.org/wiki/BWV_110,"https://imslp.org/wiki/Unser_Mund_sei_voll_Lachens,_BWV_110_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000135?lang=en
111,1725-01-25,"Cantata Was mein Gott will, das g'scheh allzeit (Epiphany III)",satbSATB 2Ob Str Bc,6.0,https://en.wikipedia.org/wiki/BWV_111,"https://imslp.org/wiki/Was_mein_Gott_will,_das_g%27scheh_allzeit,_BWV_111_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000136?lang=en
112,1731-04-08,Cantata Der Herr ist mein getreuer Hirt (Misericordias),satbSATB 2Hn 2Oba Str Bc,16.0,https://en.wikipedia.org/wiki/BWV_112,"https://imslp.org/wiki/Der_Herr_ist_mein_getreuer_Hirt,_BWV_112_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000137?lang=en
113,1724-08-20,"Cantata Herr Jesu Christ, du höchstes Gut (Trinity XI)",satbSATB Fl 2Oba Str Bc,37.0,https://en.wikipedia.org/wiki/BWV_113,"https://imslp.org/wiki/Herr_Jesu_Christ,_du_h%C3%B6chstes_Gut,_BWV_113_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000138?lang=en
114,1724-10-01,"Cantata Ach, lieben Christen, seid getrost (Trinity XVII)",satbSATB Hn Fl 2Ob Str Bc,44.0,https://en.wikipedia.org/wiki/BWV_114,"https://imslp.org/wiki/Ach,_lieben_Christen,_seid_getrost,_BWV_114_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000139?lang=en
115,1724-11-05,"Cantata Mache dich, mein Geist, bereit (Trinity XXII)",satbSATB Hn Fl Oba Str Vc Bc,50.0,https://en.wikipedia.org/wiki/BWV_115,"https://imslp.org/wiki/Ach,_lieben_Christen,_seid_getrost,_BWV_114_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000140?lang=en
116,1724-11-26,"Cantata Du Friedefürst, Herr Jesu Christ (Trinity XXV)",satbSATB Hn 2Oba Str Bc,45.0,https://en.wikipedia.org/wiki/BWV_116,"https://imslp.org/wiki/Du_Friedef%C3%BCrst,_Herr_Jesu_Christ,_BWV_116_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000141?lang=en
119,1723-08-30,"Cantata Preise, Jerusalem, den Herrn (council election)",satbSATB 4Tr Tmp 2Fl 3Ob 2Odc Str Bc,,https://en.wikipedia.org/wiki/BWV_119,"https://imslp.org/wiki/Preise,_Jerusalem,_den_Herren,_BWV_119_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000144?lang=en
120.3,1730-06-26,"Cantata Gott, man lobet dich in der Stille (200th anniversary of the Augsb. Confess.; music lost, partially reconstructable)",saSATB 3Tr Tmp 2Oba Vl Str Bc ?,,https://en.wikipedia.org/wiki/BWV_120.3,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000147?lang=en
121,1724-12-26,Cantata Christum wir sollen loben schon (Christmas 2),satbSATB Cnt 3Tbn Oba Str Bc,54.0,https://en.wikipedia.org/wiki/BWV_121,"https://imslp.org/wiki/Christum_wir_sollen_loben_schon,_BWV_121_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000148?lang=en
122,1724-12-31,Cantata Das neugeborne Kindelein (Christmas I),satbSATB 3Fl 2Ob Tai Str Bc,56.0,https://en.wikipedia.org/wiki/BWV_122,"https://imslp.org/wiki/Das_neugeborne_Kindelein,_BWV_122_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000149?lang=en
123,1725-01-06,"Cantata Liebster Immanuel, Herzog der Frommen (Epiphany)",atbSATB 2Fl 2Oba Str Bc,3.0,https://en.wikipedia.org/wiki/BWV_123,"https://imslp.org/wiki/Liebster_Immanuel,_Herzog_der_Frommen,_BWV_123_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000150?lang=en
124,1725-01-07,Cantata Meinen Jesum laß ich nicht (Epiphany I),satbSATB Hn Oba Str Bc,4.0,https://en.wikipedia.org/wiki/BWV_124,"https://imslp.org/wiki/Meinen_Jesum_lass_ich_nicht,_BWV_124_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000151?lang=en
125,1725-02-02,Cantata Mit Fried und Freud ich fahr dahin (Purification),atbSATB Hn Fl Ob Oba Str Bc,8.0,https://en.wikipedia.org/wiki/BWV_125,"https://imslp.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,_BWV_125_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000152?lang=en
126,1725-02-04,"Cantata Erhalt uns, Herr, bei deinem Wort (Sexagesimae)",atbSATB Tr 2Ob Str Bc,10.0,https://en.wikipedia.org/wiki/BWV_126,"https://imslp.org/wiki/Erhalt_uns,_Herr,_bei_deinem_Wort,_BWV_126_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000153?lang=en
127,1725-02-11,"Cantata Herr Jesu Christ, wahr' Mensch und Gott (Estomihi)",stbSATB Tr 2Fl 2Ob Str Bc,11.0,https://en.wikipedia.org/wiki/BWV_127,"https://imslp.org/wiki/Herr_Jesu_Christ,_wahr%27_Mensch_und_Gott,_BWV_127_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000154?lang=en
128,1725-05-10,Cantata Auf Christi Himmelfahrt allein (Ascension),atbSATB Tr 2Hn 2Ob 2Oba Odc Str Bc,20.0,https://en.wikipedia.org/wiki/BWV_128,"https://imslp.org/wiki/Auf_Christi_Himmelfahrt_allein,_BWV_128_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000156?lang=en
129,1727-06-08,"Cantata Gelobet sei der Herr, mein Gott (Trinity)",sabSATB 3Tr Tmp Fl 2Ob Oba Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_129,"https://imslp.org/wiki/Gelobet_sei_der_Herr,_mein_Gott,_BWV_129_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000157?lang=en
130.1,1724-09-29,"Cantata Herr Gott, dich loben alle wir (Michaelmas; 1st version)",satbSATB 3Tr Tmp Fl 3Ob Str Bc,42.0,https://en.wikipedia.org/wiki/BWV_130,"https://imslp.org/wiki/Herr_Gott,_dich_loben_alle_wir,_BWV_130_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000158?lang=en
132,1715-12-22,"Cantata Bereitet die Wege, bereitet die Bahn (Advent IV)",satbSATB Ob Bas Str Vc Bc,53.0,https://en.wikipedia.org/wiki/BWV_132,"https://imslp.org/wiki/Bereitet_die_Wege,_bereitet_die_Bahn,_BWV_132_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000162?lang=en
133,1724-12-27,Cantata Ich freue mich in dir (Christmas 3),satbSATB Cnt 2Oba Str Bc,55.0,https://en.wikipedia.org/wiki/BWV_133,"https://imslp.org/wiki/Ich_freue_mich_in_dir,_BWV_133_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000163?lang=en
134.3,1731-03-27,"Cantata Ein Herz, das seinen Jesum lebend weiß (Easter 3; later version)",atSATB 2Ob Str Bc,14.0,https://en.wikipedia.org/wiki/BWV_134,"https://imslp.org/wiki/Ein_Herz,_das_seinen_Jesum_lebend_weiss,_BWV_134_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000164?lang=en
134.3,1735-04-12,"Cantata Ein Herz, das seinen Jesum lebend weiß (Easter 3; later version)",atSATB 2Ob Str Bc,14.0,https://en.wikipedia.org/wiki/BWV_134,"https://imslp.org/wiki/Ein_Herz,_das_seinen_Jesum_lebend_weiss,_BWV_134_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000164?lang=en
134.2,1724-04-11,"Cantata Ein Herz, das seinen Jesum lebend weiß (Easter 3; early version)",atSATB 2Ob Str Bc,14.0,https://en.wikipedia.org/wiki/BWV_134,"https://imslp.org/wiki/Ein_Herz,_das_seinen_Jesum_lebend_weiss,_BWV_134_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000165?lang=en
134.1,1719-01-01,"Secular cantata Die Zeit, die Tag und Jahre macht (congratulation for New Year)",atSATB 2Ob Str Bc,14.0,https://en.wikipedia.org/wiki/BWV_134.1,"https://imslp.org/wiki/Die_Zeit,_die_Tag_und_Jahre_macht,_BWV_134a_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000166?lang=en
135,1724-06-25,"Cantata Ach Herr, mich armen Sünder (Trinity III)",atbSATB Cnt Tbn 2Ob Str Bc,29.0,https://en.wikipedia.org/wiki/BWV_135,"https://imslp.org/wiki/Ach_Herr,_mich_armen_S%C3%BCnder,_BWV_135_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000167?lang=en
136,1723-07-18,"Cantata Erforsche mich, Gott, und erfahre mein Herz (Trinity VIII)",atbSATB Hn 2Ob 2Oba Str Bc,34.0,https://en.wikipedia.org/wiki/BWV_136,"https://imslp.org/wiki/Erforsche_mich,_Gott,_und_erfahre_mein_Herz,_BWV_136_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000168?lang=en
137,1725-08-19,"Cantata Lobe den Herren, den mächtigen König der Ehren (Trinity XII)",satbSATB 3Tr Tmp 2Ob Str Bc,38.0,https://en.wikipedia.org/wiki/BWV_137,"https://imslp.org/wiki/Lobe_den_Herren,_den_m%C3%A4chtigen_K%C3%B6nig_der_Ehren,_BWV_137_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000169?lang=en
138,1723-09-05,"Cantata Warum betrübst du dich, mein Herz (Trinity XV)",satbSATB 2Oba Str Bc,41.0,https://en.wikipedia.org/wiki/BWV_138,"https://imslp.org/wiki/Warum_betr%C3%BCbst_du_dich,_mein_Herz,_BWV_138_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000170?lang=en
139,1724-11-12,"Cantata Wohl dem, der sich auf seinen Gott (Trinity XXIII)",satbSATB 2Oba Str Bc,51.0,https://en.wikipedia.org/wiki/BWV_139,"https://imslp.org/wiki/Wohl_dem,_der_sich_auf_seinen_Gott,_BWV_139_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000171?lang=en
140,1731-11-25,"Cantata Wachet auf, ruft uns die Stimme (Trinity XXVII)",stbSATB Hn 2Ob Tai Vl Str Bc,51.0,https://en.wikipedia.org/wiki/BWV_140,"https://imslp.org/wiki/Wachet_auf,_ruft_uns_die_Stimme,_BWV_140_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000172?lang=en
144,1724-02-06,"Cantata Nimm, was dein ist, und gehe hin (Septuagesima)",satSATB 2Ob Oba Str Bc,9.0,https://en.wikipedia.org/wiki/BWV_144,"https://imslp.org/wiki/Wachet_auf,_ruft_uns_die_Stimme,_BWV_140_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000176?lang=en
145,1729-04-19,"Cantata Ich lebe, mein Herze, zu deinem Ergötzen (Easter 3)",stbSATB Tr Fl 2Ob Str Bc,14.0,https://en.wikipedia.org/wiki/BWV_145,"https://imslp.org/wiki/Ich_lebe,_mein_Herze,_zu_deinem_Erg%C3%B6tzen,_BWV_145_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000177?lang=en
146,1726-05-12,Cantata Wir müssen durch viel Trübsal (Jubilate),satbSATB Fl 2Ob 2Oba Tai Str Org Bc,17.0,https://en.wikipedia.org/wiki/BWV_146,"https://imslp.org/wiki/Wir_m%C3%BCssen_durch_viel_Tr%C3%BCbsal,_BWV_146_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000179?lang=en
147.2,1723-07-02,Cantata Herz und Mund und Tat und Leben (Visitation),satbSATB Tr 2Ob Oba 2Odc Str Bc,53.0,https://en.wikipedia.org/wiki/BWV_147,"https://imslp.org/wiki/Herz_und_Mund_und_Tat_und_Leben,_BWV_147_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000180?lang=en
